Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Plead/Found Guilty
2019,421,129,285,12,2056
2020,464,156,269,3,2443
2021,748,159,364,15,3095
2022,766,181,436,10,3015
2023,778,245,380,10,3243
2024,747,263,264,10,3019
2025,875,256,255,10,3160
