Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,72,21,124,2,7,365
2021,78,35,141,3,20,488
2022,83,18,179,4,4,497
2023,93,18,160,8,17,394
2024,59,25,144,3,7,330
2025,76,29,125,3,9,348
