Disposition Quarter,Average number of hearings per case
2017 Q1,6.6023
2017 Q2,6.7792
2017 Q3,6.7929
2017 Q4,6.2514
2018 Q1,7.2922
2018 Q2,7.1347
2018 Q3,7.1202
2018 Q4,7.4375
2019 Q1,7.8162
2019 Q2,7.6615
2019 Q3,7.1657
2019 Q4,7.5215
2020 Q1,8.1529
2020 Q2,9.3378
2020 Q3,9.6028
2020 Q4,8.1985
2021 Q1,8.8936
2021 Q2,7.8409
2021 Q3,8.4
2021 Q4,8.175
2022 Q1,7.4491
2022 Q2,9.0576
2022 Q3,7.9725
2022 Q4,8.5104
2023 Q1,8.8082
2023 Q2,8.3799
2023 Q3,7.7556
2023 Q4,8.8844
2024 Q1,8.903
2024 Q2,8.4091
2024 Q3,8.2727
2024 Q4,9.1448
2025 Q1,8.3974
2025 Q2,9.3622
2025 Q3,8.0393
2025 Q4,9.6667
2026 Q1,8.7391
2026 Q2,9.4706
