Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,664,161,825,80.48484848,19.51515152
2017 Q2,622,180,802,77.55610973,22.44389027
2017 Q3,677,170,847,79.92916175,20.07083825
2017 Q4,620,145,765,81.04575163,18.95424837
2018 Q1,552,157,709,77.8561354,22.1438646
2018 Q2,583,115,698,83.5243553,16.4756447
2018 Q3,511,136,647,78.97990726,21.02009274
2018 Q4,586,146,732,80.05464481,19.94535519
2019 Q1,552,158,710,77.74647887,22.25352113
2019 Q2,628,194,822,76.39902676,23.60097324
2019 Q3,564,164,728,77.47252747,22.52747253
2019 Q4,451,144,595,75.79831933,24.20168067
2020 Q1,457,134,591,77.32656514,22.67343486
2020 Q2,620,239,859,72.17694994,27.82305006
2020 Q3,739,203,942,78.45010616,21.54989384
2020 Q4,656,229,885,74.12429379,25.87570621
2021 Q1,648,223,871,74.39724455,25.60275545
2021 Q2,799,275,1074,74.39478585,25.60521415
2021 Q3,987,254,1241,79.53263497,20.46736503
2021 Q4,785,249,1034,75.91876209,24.08123791
2022 Q1,826,256,1082,76.34011091,23.65988909
2022 Q2,921,277,1198,76.87813022,23.12186978
2022 Q3,728,225,953,76.39034627,23.60965373
2022 Q4,765,345,1110,68.91891892,31.08108108
2023 Q1,988,251,1239,79.7417272,20.2582728
2023 Q2,890,264,1154,77.12305026,22.87694974
2023 Q3,785,269,1054,74.47817837,25.52182163
2023 Q4,751,316,1067,70.38425492,29.61574508
2024 Q1,795,263,1058,75.14177694,24.85822306
2024 Q2,815,242,1057,77.10501419,22.89498581
2024 Q3,777,280,1057,73.50993377,26.49006623
2024 Q4,719,323,1042,69.00191939,30.99808061
2025 Q1,802,255,1057,75.87511826,24.12488174
2025 Q2,683,295,978,69.83640082,30.16359918
2025 Q3,825,360,1185,69.62025316,30.37974684
2025 Q4,882,333,1215,72.59259259,27.40740741
2026 Q1,949,373,1322,71.78517398,28.21482602
2026 Q2,812,382,1194,68.00670017,31.99329983
