District,Disposition Quarter,Average number of hearings per case
05,2017 Q1,6.6023
05,2017 Q2,6.7792
05,2017 Q3,6.7929
05,2017 Q4,6.2514
05,2018 Q1,7.2922
05,2018 Q2,7.1347
05,2018 Q3,7.1202
05,2018 Q4,7.4375
05,2019 Q1,7.8162
05,2019 Q2,7.6615
05,2019 Q3,7.1657
05,2019 Q4,7.5215
05,2020 Q1,8.1529
05,2020 Q2,9.3378
05,2020 Q3,9.6028
05,2020 Q4,8.1985
05,2021 Q1,8.8936
05,2021 Q2,7.8409
05,2021 Q3,8.4
05,2021 Q4,8.175
05,2022 Q1,7.4491
05,2022 Q2,9.0576
05,2022 Q3,7.9725
05,2022 Q4,8.5104
05,2023 Q1,8.8082
05,2023 Q2,8.3799
05,2023 Q3,7.7556
05,2023 Q4,8.8844
05,2024 Q1,8.903
05,2024 Q2,8.4026
05,2024 Q3,8.2727
05,2024 Q4,9.1448
05,2025 Q1,8.3974
05,2025 Q2,9.3543
05,2025 Q3,8.0393
05,2025 Q4,9.6667
05,2026 Q1,8.7391
05,2026 Q2,9.373
