Metric,Felony,Misdemeanor
Cases Resolved 2025,590.0,4555.0
Change since 2024,3.69068541,5.85637927
,,
Cases Resolved Quarter 4 2025,132.0,1251.0
Change since Quarter 4 2024,-8.96551724,17.02525725
