Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,53,54,107,49.5
2017 Q2,65,88,153,42.5
2017 Q3,59,58,117,50.4
2017 Q4,79,42,121,65.3
2018 Q1,73,73,146,50.0
2018 Q2,68,53,121,56.2
2018 Q3,73,73,146,50.0
2018 Q4,63,59,122,51.6
2019 Q1,54,65,119,45.4
2019 Q2,98,88,186,52.7
2019 Q3,70,45,115,60.9
2019 Q4,62,77,139,44.6
2020 Q1,47,58,105,44.8
2020 Q2,36,51,87,41.4
2020 Q3,42,48,90,46.7
2020 Q4,41,49,90,45.6
2021 Q1,53,60,113,46.9
2021 Q2,70,78,148,47.3
2021 Q3,49,60,109,45.0
2021 Q4,66,72,138,47.8
2022 Q1,70,73,143,49.0
2022 Q2,57,72,129,44.2
2022 Q3,48,57,105,45.7
2022 Q4,62,62,124,50.0
2023 Q1,75,61,136,55.1
2023 Q2,55,52,107,51.4
2023 Q3,39,48,87,44.8
2023 Q4,41,42,83,49.4
2024 Q1,40,46,86,46.5
2024 Q2,36,43,79,45.6
2024 Q3,43,38,81,53.1
2024 Q4,45,45,90,50.0
2025 Q1,45,53,98,45.9
2025 Q2,41,36,77,53.2
2025 Q3,51,58,109,46.8
2025 Q4,35,37,72,48.6
2026 Q1,42,37,79,53.2
2026 Q2,42,39,81,51.9
