District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
05,2017 Q1,167.6213,116.0
05,2017 Q2,167.3965,128.0
05,2017 Q3,167.6347,118.0
05,2017 Q4,150.6949,115.0
05,2018 Q1,188.3052,133.0
05,2018 Q2,183.3229,136.5
05,2018 Q3,158.0192,123.0
05,2018 Q4,177.9792,127.5
05,2019 Q1,199.4378,167.0
05,2019 Q2,203.7647,147.0
05,2019 Q3,186.7305,134.0
05,2019 Q4,194.2,148.0
05,2020 Q1,232.6689,173.0
05,2020 Q2,261.255,224.0
05,2020 Q3,260.2263,223.0
05,2020 Q4,222.8571,182.0
05,2021 Q1,263.9144,209.0
05,2021 Q2,236.1682,207.0
05,2021 Q3,234.3224,181.5
05,2021 Q4,252.5707,196.0
05,2022 Q1,201.785,161.0
05,2022 Q2,247.6596,201.0
05,2022 Q3,233.2428,195.0
05,2022 Q4,252.6096,194.0
05,2023 Q1,278.9073,189.0
05,2023 Q2,225.7368,168.0
05,2023 Q3,209.9695,168.0
05,2023 Q4,259.5532,213.0
05,2024 Q1,237.9924,192.5
05,2024 Q2,232.04,166.5
05,2024 Q3,249.8244,188.0
05,2024 Q4,266.3529,182.0
05,2025 Q1,242.0066,186.0
05,2025 Q2,250.1803,180.0
05,2025 Q3,232.6221,198.0
05,2025 Q4,263.1545,219.0
05,2026 Q1,254.4701,209.0
05,2026 Q2,275.9504,231.0
