Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,0,1,1,53,62,115,10,15,25,204,187,391,0.0,46.1,40.0,52.2
2020,0,0,0,43,46,89,5,8,13,115,143,258,,48.3,38.5,44.6
2021,0,1,1,63,74,137,11,16,27,156,159,315,0.0,46.0,40.7,49.5
2022,0,0,0,73,93,166,9,13,22,144,142,286,,44.0,40.9,50.3
2023,0,0,0,65,76,141,12,8,20,130,99,229,,46.1,60.0,56.8
2024,0,0,0,60,60,120,10,11,21,92,96,188,,50.0,47.6,48.9
2025,0,1,1,74,56,130,2,7,9,94,116,210,0.0,56.9,22.2,44.8
