District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
05,2017 Q1,82,87,169,48.52071006,51.47928994
05,2017 Q2,116,111,227,51.10132159,48.89867841
05,2017 Q3,78,89,167,46.70658683,53.29341317
05,2017 Q4,84,93,177,47.45762712,52.54237288
05,2018 Q1,121,92,213,56.80751174,43.19248826
05,2018 Q2,102,90,192,53.125,46.875
05,2018 Q3,106,102,208,50.96153846,49.03846154
05,2018 Q4,101,91,192,52.60416667,47.39583333
05,2019 Q1,116,69,185,62.7027027,37.2972973
05,2019 Q2,158,97,255,61.96078431,38.03921569
05,2019 Q3,88,79,167,52.69461078,47.30538922
05,2019 Q4,110,75,185,59.45945946,40.54054054
05,2020 Q1,95,56,151,62.91390728,37.08609272
05,2020 Q2,112,37,149,75.16778523,24.83221477
05,2020 Q3,107,30,137,78.10218978,21.89781022
05,2020 Q4,87,46,133,65.41353383,34.58646617
05,2021 Q1,136,51,187,72.72727273,27.27272727
05,2021 Q2,143,71,214,66.82242991,33.17757009
05,2021 Q3,97,55,152,63.81578947,36.18421053
05,2021 Q4,134,64,198,67.67676768,32.32323232
05,2022 Q1,143,71,214,66.82242991,33.17757009
05,2022 Q2,136,52,188,72.34042553,27.65957447
05,2022 Q3,125,48,173,72.25433526,27.74566474
05,2022 Q4,141,46,187,75.40106952,24.59893048
05,2023 Q1,101,50,151,66.88741722,33.11258278
05,2023 Q2,111,60,171,64.9122807,35.0877193
05,2023 Q3,80,51,131,61.06870229,38.93129771
05,2023 Q4,102,39,141,72.34042553,27.65957447
05,2024 Q1,92,40,132,69.6969697,30.3030303
05,2024 Q2,109,41,150,72.66666667,27.33333333
05,2024 Q3,100,31,131,76.33587786,23.66412214
05,2024 Q4,86,50,136,63.23529412,36.76470588
05,2025 Q1,113,38,151,74.83443709,25.16556291
05,2025 Q2,86,36,122,70.49180328,29.50819672
05,2025 Q3,114,58,172,66.27906977,33.72093023
05,2025 Q4,87,36,123,70.73170732,29.26829268
05,2026 Q1,101,33,134,75.37313433,24.62686567
05,2026 Q2,89,32,121,73.55371901,26.44628099
