District,Metric,Felony,Misdemeanor
05,Cases Resolved 2025,590.0,4555.0
05,Change since 2024,3.87323944,5.85637927
05,,,
05,Cases Resolved Quarter 4 2025,132.0,1250.0
05,Change since Quarter 4 2024,-8.96551724,16.93171188
