District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
23,2017 Q1,202,119,321,62.92834891,37.07165109
23,2017 Q2,204,115,319,63.94984326,36.05015674
23,2017 Q3,226,96,322,70.1863354,29.8136646
23,2017 Q4,229,131,360,63.61111111,36.38888889
23,2018 Q1,209,120,329,63.52583587,36.47416413
23,2018 Q2,232,156,388,59.79381443,40.20618557
23,2018 Q3,213,142,355,60.0,40.0
23,2018 Q4,221,151,372,59.40860215,40.59139785
23,2019 Q1,221,140,361,61.21883657,38.78116343
23,2019 Q2,234,136,370,63.24324324,36.75675676
23,2019 Q3,206,135,341,60.41055718,39.58944282
23,2019 Q4,161,121,282,57.09219858,42.90780142
23,2020 Q1,205,136,341,60.11730205,39.88269795
23,2020 Q2,91,52,143,63.63636364,36.36363636
23,2020 Q3,203,63,266,76.31578947,23.68421053
23,2020 Q4,174,73,247,70.44534413,29.55465587
23,2021 Q1,227,80,307,73.94136808,26.05863192
23,2021 Q2,258,77,335,77.01492537,22.98507463
23,2021 Q3,272,95,367,74.11444142,25.88555858
23,2021 Q4,234,76,310,75.48387097,24.51612903
23,2022 Q1,242,76,318,76.10062893,23.89937107
23,2022 Q2,233,94,327,71.25382263,28.74617737
23,2022 Q3,204,82,286,71.32867133,28.67132867
23,2022 Q4,214,51,265,80.75471698,19.24528302
23,2023 Q1,232,85,317,73.18611987,26.81388013
23,2023 Q2,224,73,297,75.42087542,24.57912458
23,2023 Q3,217,72,289,75.08650519,24.91349481
23,2023 Q4,219,86,305,71.80327869,28.19672131
23,2024 Q1,267,65,332,80.42168675,19.57831325
23,2024 Q2,264,88,352,75.0,25.0
23,2024 Q3,267,75,342,78.07017544,21.92982456
23,2024 Q4,245,61,306,80.06535948,19.93464052
23,2025 Q1,299,96,395,75.69620253,24.30379747
23,2025 Q2,255,88,343,74.34402332,25.65597668
23,2025 Q3,247,86,333,74.17417417,25.82582583
23,2025 Q4,196,77,273,71.79487179,28.20512821
23,2026 Q1,215,54,269,79.92565056,20.07434944
23,2026 Q2,168,57,225,74.66666667,25.33333333
