Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,0,4,4,38,104,142,34,83,117,247,417,664,0.0,26.8,29.1,37.2
2020,1,2,3,48,78,126,24,47,71,182,271,453,33.3,38.1,33.8,40.2
2021,1,5,6,69,119,188,46,64,110,242,341,583,16.7,36.7,41.8,41.5
2022,0,3,3,44,123,167,32,71,103,156,417,573,0.0,26.3,31.1,27.2
2023,0,3,3,51,160,211,31,92,123,139,437,576,0.0,24.2,25.2,24.1
2024,2,0,2,58,165,223,40,101,141,196,382,578,100.0,26.0,28.4,33.9
2025,3,2,5,104,158,262,61,72,133,282,335,617,60.0,39.7,45.9,45.7
