Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,186.0997,154.0
2017 Q2,198.2476,155.0
2017 Q3,214.1056,171.5
2017 Q4,202.7694,171.0
2018 Q1,213.2736,158.0
2018 Q2,214.1778,167.0
2018 Q3,193.707,147.0
2018 Q4,214.9785,158.0
2019 Q1,210.5042,166.0
2019 Q2,221.2784,167.0
2019 Q3,221.3871,150.0
2019 Q4,218.266,146.0
2020 Q1,205.9032,157.0
2020 Q2,238.3077,181.0
2020 Q3,276.9699,241.5
2020 Q4,251.83,218.0
2021 Q1,284.3257,254.0
2021 Q2,318.406,294.0
2021 Q3,317.0272,255.0
2021 Q4,319.2,275.5
2022 Q1,321.1572,257.0
2022 Q2,295.8869,218.0
2022 Q3,280.1259,208.5
2022 Q4,312.1396,257.0
2023 Q1,301.2902,267.0
2023 Q2,302.0976,270.0
2023 Q3,294.8097,240.0
2023 Q4,273.377,198.0
2024 Q1,286.3886,241.5
2024 Q2,277.892,222.0
2024 Q3,276.3977,237.0
2024 Q4,278.8105,234.5
2025 Q1,276.2101,243.0
2025 Q2,279.4431,234.0
2025 Q3,267.8018,216.0
2025 Q4,265.8974,193.0
2026 Q1,295.5019,237.0
2026 Q2,277.6489,229.0
