Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,76,14,260,1,18,659
2021,109,40,298,5,21,890
2022,107,35,239,2,36,839
2023,104,29,199,7,51,892
2024,128,37,241,9,38,937
2025,147,33,218,5,53,964
