Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,68,142,210,32.4
2017 Q2,62,134,196,31.6
2017 Q3,64,144,208,30.8
2017 Q4,94,171,265,35.5
2018 Q1,72,150,222,32.4
2018 Q2,83,198,281,29.5
2018 Q3,60,164,224,26.8
2018 Q4,65,189,254,25.6
2019 Q1,72,182,254,28.3
2019 Q2,77,181,258,29.8
2019 Q3,97,146,243,39.9
2019 Q4,88,117,205,42.9
2020 Q1,94,152,246,38.2
2020 Q2,30,62,92,32.6
2020 Q3,64,105,169,37.9
2020 Q4,74,96,170,43.5
2021 Q1,91,120,211,43.1
2021 Q2,97,132,229,42.4
2021 Q3,95,156,251,37.8
2021 Q4,82,136,218,37.6
2022 Q1,62,155,217,28.6
2022 Q2,74,173,247,30.0
2022 Q3,54,163,217,24.9
2022 Q4,58,135,193,30.1
2023 Q1,48,200,248,19.4
2023 Q2,52,181,233,22.3
2023 Q3,58,166,224,25.9
2023 Q4,71,168,239,29.7
2024 Q1,74,180,254,29.1
2024 Q2,73,195,268,27.2
2024 Q3,74,152,226,32.7
2024 Q4,86,140,226,38.1
2025 Q1,122,179,301,40.5
2025 Q2,122,143,265,46.0
2025 Q3,121,147,268,45.1
2025 Q4,92,110,202,45.5
2026 Q1,79,122,201,39.3
2026 Q2,82,85,167,49.1
