District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
23,2020,1212,188,589,8,46,4570
23,2021,1753,341,566,14,56,5319
23,2022,1705,275,569,9,49,5832
23,2023,1856,321,549,9,48,5960
23,2024,1891,340,542,12,53,6413
23,2025,2074,396,654,15,45,6351
