Metric,Felony,Misdemeanor
Cases Resolved 2025,1429.0,9654.0
Change since 2024,2.73184759,4.31118314
,,
Cases Resolved Quarter 4 2025,297.0,2337.0
Change since Quarter 4 2024,-8.0495356,4.93938033
