Metric,Felony,Misdemeanor
Cases Resolved 2025,1420.0,9535.0
Change since 2024,2.15827338,3.06993839
,,
Cases Resolved Quarter 4 2025,292.0,2244.0
Change since Quarter 4 2024,-9.31677019,0.76335878
