Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,13,15,24,52
2017 Q2,13,13,18,44
2017 Q3,14,15,24,53
2017 Q4,21,16,25,62
2018 Q1,27,16,20,63
2018 Q2,25,13,22,60
2018 Q3,18,14,12,44
2018 Q4,30,11,41,82
2019 Q1,27,26,17,70
2019 Q2,25,15,21,61
2019 Q3,26,11,20,57
2019 Q4,23,13,27,63
2020 Q1,22,14,15,51
2020 Q2,13,7,15,35
2020 Q3,13,15,19,47
2020 Q4,15,7,4,26
2021 Q1,12,10,9,31
2021 Q2,22,8,10,40
2021 Q3,31,12,16,59
2021 Q4,19,7,11,37
2022 Q1,14,7,18,39
2022 Q2,18,16,11,45
2022 Q3,14,6,19,39
2022 Q4,8,8,4,20
2023 Q1,19,5,20,44
2023 Q2,23,11,13,47
2023 Q3,10,10,18,38
2023 Q4,13,5,9,27
2024 Q1,10,8,11,29
2024 Q2,10,8,10,28
2024 Q3,5,8,10,23
2024 Q4,21,11,7,39
2025 Q1,20,4,9,33
2025 Q2,11,4,7,22
2025 Q3,12,9,10,31
2025 Q4,21,9,8,38
2026 Q1,8,10,10,28
2026 Q2,7,6,6,19
