Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,1,18,19,5.3,94.7
2017 Q2,0,26,26,0.0,100.0
2017 Q3,0,18,18,0.0,100.0
2017 Q4,4,23,27,14.8,85.2
2018 Q1,3,32,35,8.6,91.4
2018 Q2,1,23,24,4.2,95.8
2018 Q3,3,27,30,10.0,90.0
2018 Q4,1,22,23,4.3,95.7
2019 Q1,1,24,25,4.0,96.0
2019 Q2,1,16,17,5.9,94.1
2019 Q3,2,13,15,13.3,86.7
2019 Q4,3,11,14,21.4,78.6
2020 Q1,2,19,21,9.5,90.5
2020 Q2,0,21,21,0.0,100.0
2020 Q3,6,20,26,23.1,76.9
2020 Q4,4,15,19,21.1,78.9
2021 Q1,1,20,21,4.8,95.2
2021 Q2,5,23,28,17.9,82.1
2021 Q3,3,22,25,12.0,88.0
2021 Q4,4,27,31,12.9,87.1
2022 Q1,0,17,17,0.0,100.0
2022 Q2,8,11,19,42.1,57.9
2022 Q3,2,22,24,8.3,91.7
2022 Q4,5,12,17,29.4,70.6
2023 Q1,4,29,33,12.1,87.9
2023 Q2,3,22,25,12.0,88.0
2023 Q3,3,32,35,8.6,91.4
2023 Q4,6,24,30,20.0,80.0
2024 Q1,3,35,38,7.9,92.1
2024 Q2,4,15,19,21.1,78.9
2024 Q3,1,24,25,4.0,96.0
2024 Q4,7,29,36,19.4,80.6
2025 Q1,6,26,32,18.8,81.2
2025 Q2,4,27,31,12.9,87.1
2025 Q3,4,19,23,17.4,82.6
2025 Q4,0,19,19,0.0,100.0
2026 Q1,3,31,34,8.8,91.2
2026 Q2,3,18,21,14.3,85.7
