Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,2448,347,754
2018,2628,431,857
2019,2359,399,735
2020,1853,479,686
2021,2106,463,749
2022,2045,398,680
2023,1837,344,750
2024,2046,457,761
2025,1989,444,885
