District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
06,2017,2448,347,754
06,2018,2628,431,857
06,2019,2359,399,735
06,2020,1853,479,686
06,2021,2106,463,749
06,2022,2045,398,680
06,2023,1837,344,750
06,2024,2046,457,761
06,2025,1989,444,885
