District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
06,2017 Q1,1,18,19,5.26315789,94.73684211
06,2017 Q2,0,26,26,0.0,100.0
06,2017 Q3,0,18,18,0.0,100.0
06,2017 Q4,4,23,27,14.81481481,85.18518519
06,2018 Q1,3,32,35,8.57142857,91.42857143
06,2018 Q2,1,23,24,4.16666667,95.83333333
06,2018 Q3,3,27,30,10.0,90.0
06,2018 Q4,1,22,23,4.34782609,95.65217391
06,2019 Q1,1,24,25,4.0,96.0
06,2019 Q2,1,16,17,5.88235294,94.11764706
06,2019 Q3,2,13,15,13.33333333,86.66666667
06,2019 Q4,3,11,14,21.42857143,78.57142857
06,2020 Q1,2,19,21,9.52380952,90.47619048
06,2020 Q2,0,21,21,0.0,100.0
06,2020 Q3,6,20,26,23.07692308,76.92307692
06,2020 Q4,4,15,19,21.05263158,78.94736842
06,2021 Q1,1,20,21,4.76190476,95.23809524
06,2021 Q2,5,23,28,17.85714286,82.14285714
06,2021 Q3,3,22,25,12.0,88.0
06,2021 Q4,4,27,31,12.90322581,87.09677419
06,2022 Q1,0,17,17,0.0,100.0
06,2022 Q2,8,11,19,42.10526316,57.89473684
06,2022 Q3,2,22,24,8.33333333,91.66666667
06,2022 Q4,5,12,17,29.41176471,70.58823529
06,2023 Q1,4,29,33,12.12121212,87.87878788
06,2023 Q2,3,22,25,12.0,88.0
06,2023 Q3,3,32,35,8.57142857,91.42857143
06,2023 Q4,6,24,30,20.0,80.0
06,2024 Q1,3,35,38,7.89473684,92.10526316
06,2024 Q2,4,15,19,21.05263158,78.94736842
06,2024 Q3,1,24,25,4.0,96.0
06,2024 Q4,7,29,36,19.44444444,80.55555556
06,2025 Q1,6,26,32,18.75,81.25
06,2025 Q2,4,27,31,12.90322581,87.09677419
06,2025 Q3,4,19,23,17.39130435,82.60869565
06,2025 Q4,0,19,19,0.0,100.0
06,2026 Q1,3,31,34,8.82352941,91.17647059
06,2026 Q2,3,18,21,14.28571429,85.71428571
