Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,2498,65,386,383,14,124,79
2018,2715,80,514,405,17,94,91
2019,2392,59,477,414,13,73,65
2020,2022,52,414,350,12,108,60
2021,2144,64,465,408,15,93,129
2022,1991,75,411,449,7,83,107
2023,1898,53,382,445,9,56,88
2024,2143,57,462,414,18,78,92
2025,2151,89,449,462,10,88,69
