Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,2513,981,29,26
2018,2844,1052,12,8
2019,2572,913,3,5
2020,2194,799,5,20
2021,2391,899,9,19
2022,2183,929,6,5
2023,2110,798,8,15
2024,2363,865,5,31
2025,2529,762,8,19
