District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
06,2017,2499,65,385,383,14,124,79
06,2018,2715,80,512,405,17,95,92
06,2019,2394,58,477,414,13,73,64
06,2020,2022,52,414,350,12,108,60
06,2021,2143,64,465,408,15,94,129
06,2022,1991,74,411,449,7,83,108
06,2023,1899,53,380,444,9,58,88
06,2024,2141,56,462,413,18,81,93
06,2025,2147,83,461,461,10,88,68
