District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
07,2017 Q1,217,1064,72
07,2017 Q2,271,1225,64
07,2017 Q3,244,1083,84
07,2017 Q4,241,1048,98
07,2018 Q1,250,1023,95
07,2018 Q2,267,1025,65
07,2018 Q3,317,1191,84
07,2018 Q4,245,1002,69
07,2019 Q1,291,987,75
07,2019 Q2,267,1013,55
07,2019 Q3,311,1104,101
07,2019 Q4,287,1069,101
07,2020 Q1,248,1042,55
07,2020 Q2,211,778,45
07,2020 Q3,229,1015,81
07,2020 Q4,199,1163,72
07,2021 Q1,229,1211,73
07,2021 Q2,200,1082,78
07,2021 Q3,202,1120,81
07,2021 Q4,187,947,63
07,2022 Q1,208,952,66
07,2022 Q2,187,917,96
07,2022 Q3,175,1008,112
07,2022 Q4,160,880,79
07,2023 Q1,146,888,77
07,2023 Q2,156,842,94
07,2023 Q3,167,979,102
07,2023 Q4,180,860,75
07,2024 Q1,185,896,105
07,2024 Q2,139,894,141
07,2024 Q3,187,989,148
07,2024 Q4,158,834,89
07,2025 Q1,161,934,85
07,2025 Q2,164,906,103
07,2025 Q3,154,1009,105
07,2025 Q4,163,932,97
07,2026 Q1,131,938,84
07,2026 Q2,172,905,73
07,2026 Q3,0,34,0
