Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,973,4420,318
2018,1079,4241,313
2019,1156,4173,332
2020,887,3998,253
2021,818,4360,295
2022,730,3757,353
2023,649,3569,348
2024,669,3613,483
2025,642,3781,390
