District,Filing Quarter,Number of violent cases filed per quarter
07,2017 Q1,23
07,2017 Q2,13
07,2017 Q3,38
07,2017 Q4,28
07,2018 Q1,31
07,2018 Q2,29
07,2018 Q3,37
07,2018 Q4,24
07,2019 Q1,35
07,2019 Q2,28
07,2019 Q3,42
07,2019 Q4,40
07,2020 Q1,35
07,2020 Q2,30
07,2020 Q3,47
07,2020 Q4,28
07,2021 Q1,41
07,2021 Q2,48
07,2021 Q3,42
07,2021 Q4,36
07,2022 Q1,47
07,2022 Q2,35
07,2022 Q3,32
07,2022 Q4,35
07,2023 Q1,32
07,2023 Q2,29
07,2023 Q3,26
07,2023 Q4,36
07,2024 Q1,40
07,2024 Q2,28
07,2024 Q3,41
07,2024 Q4,31
07,2025 Q1,29
07,2025 Q2,33
07,2025 Q3,23
07,2025 Q4,38
07,2026 Q1,31
07,2026 Q2,40
07,2026 Q3,0
