Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,1109,45,73,610,305,436,513,2047
2021,1183,60,83,590,353,436,477,2291
2022,1393,55,84,615,328,447,413,1505
2023,1255,44,66,499,367,478,379,1478
2024,1172,42,70,616,383,471,425,1586
2025,1085,48,59,583,295,576,362,1805
