Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,1005,73,55,762,258,441,555,1688
2021,922,68,55,423,262,416,534,1672
2022,963,50,45,490,153,346,450,1540
2023,930,44,48,579,237,343,337,1568
2024,951,39,42,602,276,351,386,1480
2025,853,28,58,628,243,436,389,1433
