District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
11,2017,1012,3847,346
11,2018,935,3723,377
11,2019,952,3445,358
11,2020,1006,3484,347
11,2021,876,3228,248
11,2022,750,3020,267
11,2023,676,3034,376
11,2024,723,3018,386
11,2025,647,2997,424
11,2026,302,1488,196
