District,Filing Quarter,Number of violent cases filed per quarter
11,2017 Q1,44
11,2017 Q2,41
11,2017 Q3,52
11,2017 Q4,48
11,2018 Q1,37
11,2018 Q2,54
11,2018 Q3,46
11,2018 Q4,37
11,2019 Q1,36
11,2019 Q2,44
11,2019 Q3,46
11,2019 Q4,45
11,2020 Q1,55
11,2020 Q2,59
11,2020 Q3,60
11,2020 Q4,41
11,2021 Q1,65
11,2021 Q2,55
11,2021 Q3,61
11,2021 Q4,51
11,2022 Q1,49
11,2022 Q2,33
11,2022 Q3,51
11,2022 Q4,44
11,2023 Q1,43
11,2023 Q2,37
11,2023 Q3,50
11,2023 Q4,40
11,2024 Q1,34
11,2024 Q2,58
11,2024 Q3,52
11,2024 Q4,61
11,2025 Q1,35
11,2025 Q2,36
11,2025 Q3,40
11,2025 Q4,33
11,2026 Q1,30
11,2026 Q2,35
