District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
11,2017 Q1,305,963,62
11,2017 Q2,240,947,76
11,2017 Q3,261,1097,124
11,2017 Q4,206,840,84
11,2018 Q1,196,933,77
11,2018 Q2,247,875,101
11,2018 Q3,223,1048,132
11,2018 Q4,269,867,67
11,2019 Q1,225,814,88
11,2019 Q2,248,854,73
11,2019 Q3,261,1006,91
11,2019 Q4,218,771,106
11,2020 Q1,280,885,93
11,2020 Q2,274,800,88
11,2020 Q3,257,962,95
11,2020 Q4,195,837,71
11,2021 Q1,222,850,58
11,2021 Q2,206,717,47
11,2021 Q3,242,985,90
11,2021 Q4,206,676,53
11,2022 Q1,182,703,44
11,2022 Q2,184,753,60
11,2022 Q3,218,752,78
11,2022 Q4,166,812,85
11,2023 Q1,171,794,75
11,2023 Q2,151,753,89
11,2023 Q3,205,740,92
11,2023 Q4,149,747,120
11,2024 Q1,159,714,102
11,2024 Q2,180,787,77
11,2024 Q3,202,750,117
11,2024 Q4,182,767,90
11,2025 Q1,155,677,90
11,2025 Q2,170,721,95
11,2025 Q3,188,828,128
11,2025 Q4,134,771,111
11,2026 Q1,167,729,108
11,2026 Q2,133,749,87
11,2026 Q3,2,10,1
