Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,1012,3847,346
2018,935,3723,377
2019,952,3445,358
2020,1006,3484,347
2021,876,3228,248
2022,750,3020,267
2023,676,3034,376
2024,723,3018,386
2025,647,2997,424
