District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
11,2017 Q1,94,52,146,64.38356164
11,2017 Q2,78,48,126,61.9047619
11,2017 Q3,69,46,115,60.0
11,2017 Q4,70,74,144,48.61111111
11,2018 Q1,77,72,149,51.67785235
11,2018 Q2,79,73,152,51.97368421
11,2018 Q3,85,64,149,57.04697987
11,2018 Q4,83,66,149,55.70469799
11,2019 Q1,61,95,156,39.1025641
11,2019 Q2,78,74,152,51.31578947
11,2019 Q3,87,76,163,53.37423313
11,2019 Q4,72,71,143,50.34965035
11,2020 Q1,73,77,150,48.66666667
11,2020 Q2,56,53,109,51.37614679
11,2020 Q3,84,64,148,56.75675676
11,2020 Q4,62,60,122,50.81967213
11,2021 Q1,63,65,128,49.21875
11,2021 Q2,51,85,136,37.5
11,2021 Q3,48,68,116,41.37931034
11,2021 Q4,49,70,119,41.17647059
11,2022 Q1,54,85,139,38.84892086
11,2022 Q2,50,78,128,39.0625
11,2022 Q3,66,56,122,54.09836066
11,2022 Q4,49,53,102,48.03921569
11,2023 Q1,59,33,92,64.13043478
11,2023 Q2,56,54,110,50.90909091
11,2023 Q3,42,47,89,47.19101124
11,2023 Q4,32,51,83,38.55421687
11,2024 Q1,40,49,89,44.94382022
11,2024 Q2,41,45,86,47.6744186
11,2024 Q3,38,52,90,42.22222222
11,2024 Q4,71,38,109,65.13761468
11,2025 Q1,43,43,86,50.0
11,2025 Q2,48,38,86,55.81395349
11,2025 Q3,35,47,82,42.68292683
11,2025 Q4,39,43,82,47.56097561
11,2026 Q1,41,45,86,47.6744186
11,2026 Q2,33,45,78,42.30769231
