Metric,Felony,Misdemeanor
Cases Resolved 2025,587.0,2929.0
Change since 2024,-13.16568047,4.27198291
,,
Cases Resolved Quarter 4 2025,137.0,763.0
Change since Quarter 4 2024,-19.88304094,7.76836158
