District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
11,2017 Q1,93,141,234,39.74358974,60.25641026
11,2017 Q2,87,132,219,39.7260274,60.2739726
11,2017 Q3,74,130,204,36.2745098,63.7254902
11,2017 Q4,92,129,221,41.62895928,58.37104072
11,2018 Q1,98,112,210,46.66666667,53.33333333
11,2018 Q2,107,123,230,46.52173913,53.47826087
11,2018 Q3,78,147,225,34.66666667,65.33333333
11,2018 Q4,73,130,203,35.96059113,64.03940887
11,2019 Q1,91,149,240,37.91666667,62.08333333
11,2019 Q2,112,125,237,47.25738397,52.74261603
11,2019 Q3,112,126,238,47.05882353,52.94117647
11,2019 Q4,94,124,218,43.11926606,56.88073394
11,2020 Q1,103,111,214,48.13084112,51.86915888
11,2020 Q2,79,85,164,48.17073171,51.82926829
11,2020 Q3,114,111,225,50.66666667,49.33333333
11,2020 Q4,130,68,198,65.65656566,34.34343434
11,2021 Q1,120,80,200,60.0,40.0
11,2021 Q2,159,65,224,70.98214286,29.01785714
11,2021 Q3,136,51,187,72.72727273,27.27272727
11,2021 Q4,129,67,196,65.81632653,34.18367347
11,2022 Q1,155,69,224,69.19642857,30.80357143
11,2022 Q2,159,53,212,75.0,25.0
11,2022 Q3,128,77,205,62.43902439,37.56097561
11,2022 Q4,102,82,184,55.43478261,44.56521739
11,2023 Q1,114,63,177,64.40677966,35.59322034
11,2023 Q2,111,71,182,60.98901099,39.01098901
11,2023 Q3,95,52,147,64.62585034,35.37414966
11,2023 Q4,85,64,149,57.04697987,42.95302013
11,2024 Q1,101,59,160,63.125,36.875
11,2024 Q2,116,49,165,70.3030303,29.6969697
11,2024 Q3,99,63,162,61.11111111,38.88888889
11,2024 Q4,95,67,162,58.64197531,41.35802469
11,2025 Q1,93,53,146,63.69863014,36.30136986
11,2025 Q2,94,49,143,65.73426573,34.26573427
11,2025 Q3,106,42,148,71.62162162,28.37837838
11,2025 Q4,93,42,135,68.88888889,31.11111111
11,2026 Q1,111,41,152,73.02631579,26.97368421
11,2026 Q2,90,35,125,72.0,28.0
