Disposition Quarter,Average number of hearings per case
2017 Q1,6.8051
2017 Q2,6.3964
2017 Q3,6.6324
2017 Q4,6.7098
2018 Q1,6.7383
2018 Q2,6.7143
2018 Q3,6.4196
2018 Q4,6.3382
2019 Q1,7.0165
2019 Q2,7.1597
2019 Q3,6.9247
2019 Q4,7.1584
2020 Q1,6.9163
2020 Q2,7.9461
2020 Q3,7.3739
2020 Q4,8.804
2021 Q1,8.4208
2021 Q2,10.6883
2021 Q3,11.0526
2021 Q4,9.5224
2022 Q1,8.6856
2022 Q2,9.6573
2022 Q3,8.8066
2022 Q4,7.9728
2023 Q1,9.3989
2023 Q2,8.9126
2023 Q3,9.7742
2023 Q4,8.8792
2024 Q1,9.0
2024 Q2,9.244
2024 Q3,9.6467
2024 Q4,9.0941
2025 Q1,8.131
2025 Q2,8.9456
2025 Q3,10.1731
2025 Q4,8.7794
2026 Q1,9.3816
2026 Q2,10.0775
