District,Disposition Quarter,Average number of hearings per case
11,2017 Q1,6.8051
11,2017 Q2,6.3964
11,2017 Q3,6.6324
11,2017 Q4,6.7098
11,2018 Q1,6.7383
11,2018 Q2,6.7143
11,2018 Q3,6.4196
11,2018 Q4,6.3382
11,2019 Q1,7.0165
11,2019 Q2,7.1597
11,2019 Q3,6.9247
11,2019 Q4,7.1584
11,2020 Q1,6.9163
11,2020 Q2,7.9461
11,2020 Q3,7.3739
11,2020 Q4,8.804
11,2021 Q1,8.4208
11,2021 Q2,10.6883
11,2021 Q3,11.0526
11,2021 Q4,9.5224
11,2022 Q1,8.6856
11,2022 Q2,9.6573
11,2022 Q3,8.8066
11,2022 Q4,7.9728
11,2023 Q1,9.3989
11,2023 Q2,8.9126
11,2023 Q3,9.7742
11,2023 Q4,8.8792
11,2024 Q1,9.0
11,2024 Q2,9.244
11,2024 Q3,9.6467
11,2024 Q4,9.0941
11,2025 Q1,8.131
11,2025 Q2,8.9456
11,2025 Q3,10.1731
11,2025 Q4,8.7794
11,2026 Q1,9.3816
11,2026 Q2,10.0775
