Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,94,52,146,64.4
2017 Q2,78,48,126,61.9
2017 Q3,69,46,115,60.0
2017 Q4,70,74,144,48.6
2018 Q1,77,72,149,51.7
2018 Q2,79,73,152,52.0
2018 Q3,85,64,149,57.0
2018 Q4,83,66,149,55.7
2019 Q1,61,95,156,39.1
2019 Q2,78,74,152,51.3
2019 Q3,87,76,163,53.4
2019 Q4,72,71,143,50.3
2020 Q1,73,77,150,48.7
2020 Q2,56,53,109,51.4
2020 Q3,84,64,148,56.8
2020 Q4,62,60,122,50.8
2021 Q1,63,65,128,49.2
2021 Q2,51,85,136,37.5
2021 Q3,48,68,116,41.4
2021 Q4,49,70,119,41.2
2022 Q1,54,85,139,38.8
2022 Q2,50,78,128,39.1
2022 Q3,66,56,122,54.1
2022 Q4,49,53,102,48.0
2023 Q1,59,33,92,64.1
2023 Q2,56,54,110,50.9
2023 Q3,42,47,89,47.2
2023 Q4,32,51,83,38.6
2024 Q1,40,49,89,44.9
2024 Q2,41,45,86,47.7
2024 Q3,38,52,90,42.2
2024 Q4,71,38,109,65.1
2025 Q1,43,43,86,50.0
2025 Q2,48,38,86,55.8
2025 Q3,35,47,82,42.7
2025 Q4,39,43,82,47.6
2026 Q1,41,47,88,46.6
2026 Q2,33,48,81,40.7
