Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,0,3,3,26,56,82,6,15,21,253,228,481,0.0,31.7,28.6,52.6
2020,0,2,2,24,37,61,11,20,31,227,183,410,0.0,39.3,35.5,55.4
2021,2,3,5,17,44,61,4,26,30,176,202,378,40.0,27.9,13.3,46.6
2022,0,0,0,31,43,74,9,20,29,168,197,365,,41.9,31.0,46.0
2023,0,0,0,22,30,52,14,14,28,139,132,271,,42.3,50.0,51.3
2024,0,0,0,14,29,43,8,11,19,151,135,286,,32.6,42.1,52.8
2025,1,0,1,17,24,41,8,13,21,122,121,243,100.0,41.5,38.1,50.2
