Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,22,19,3,0,2,46,41.3
2018,22,23,5,2,2,54,42.6
2019,27,24,5,2,2,60,40.0
2020,27,28,6,3,1,65,43.1
2021,27,29,7,3,1,67,43.3
2022,25,28,11,4,4,72,38.9
2023,27,29,12,5,4,77,37.7
2024,28,30,13,5,4,80,37.5
