District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
21,2017 Q1,23.3043,25.0
21,2017 Q2,24.913,25.7273
21,2017 Q3,26.8095,26.2778
21,2017 Q4,24.5238,22.6111
21,2018 Q1,24.8636,28.7895
21,2018 Q2,23.1071,30.0
21,2018 Q3,23.375,26.875
21,2018 Q4,21.4,23.95
21,2019 Q1,22.1304,22.4762
21,2019 Q2,24.8696,28.0476
21,2019 Q3,18.5152,26.5789
21,2019 Q4,19.1538,22.2917
21,2020 Q1,15.6071,22.28
21,2020 Q2,14.9091,14.4667
21,2020 Q3,16.087,17.3
21,2020 Q4,17.1154,18.85
21,2021 Q1,18.2174,19.1304
21,2021 Q2,20.0,17.1667
21,2021 Q3,19.0417,20.5
21,2021 Q4,20.95,26.1333
21,2022 Q1,20.9,26.2941
21,2022 Q2,20.1,21.85
21,2022 Q3,18.4211,23.5
21,2022 Q4,18.3158,22.6471
21,2023 Q1,18.3529,24.9333
21,2023 Q2,18.8421,22.2353
21,2023 Q3,19.7059,23.1765
21,2023 Q4,20.5294,24.875
21,2024 Q1,17.2778,22.9333
21,2024 Q2,19.0588,20.0
21,2024 Q3,20.0,18.6667
21,2024 Q4,17.5263,18.875
21,2025 Q1,20.4,21.9286
21,2025 Q2,20.1333,21.4667
21,2025 Q3,22.2143,20.3333
21,2025 Q4,20.0,19.4
21,2026 Q1,26.1538,22.3846
21,2026 Q2,22.1667,19.4167
