Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,23.2609,25.0
2017 Q2,24.8696,25.6818
2017 Q3,25.8636,26.2778
2017 Q4,23.6364,22.6111
2018 Q1,24.8182,28.7895
2018 Q2,23.0,30.0
2018 Q3,23.2917,26.7917
2018 Q4,20.7692,23.95
2019 Q1,22.1304,22.381
2019 Q2,24.8696,28.0476
2019 Q3,18.9375,26.5789
2019 Q4,19.1154,22.2917
2020 Q1,15.6429,22.2
2020 Q2,14.6522,15.0714
2020 Q3,16.0435,17.3
2020 Q4,17.0385,18.85
2021 Q1,18.2174,19.1304
2021 Q2,20.0476,17.0417
2021 Q3,19.0833,20.5
2021 Q4,22.0,26.1333
2022 Q1,21.6842,26.2941
2022 Q2,19.9,21.8
2022 Q3,17.7,23.45
2022 Q4,18.2632,22.5882
2023 Q1,18.1176,24.9333
2023 Q2,18.5263,22.0
2023 Q3,19.7059,23.0588
2023 Q4,19.5,24.8125
2024 Q1,16.9444,22.9333
2024 Q2,18.7647,21.5294
2024 Q3,19.6667,17.5
2024 Q4,16.75,18.0588
2025 Q1,19.0,21.5
2025 Q2,18.75,20.0625
2025 Q3,20.7333,20.1333
2025 Q4,18.2308,18.25
2026 Q1,25.6154,21.1429
2026 Q2,20.9231,23.9231
