District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
18,2020,266,533,803,33.12577833,66.37608966
18,2021,221,601,831,26.5944645,72.32250301
18,2022,189,606,811,23.30456227,74.72256473
18,2023,215,614,840,25.5952381,73.0952381
18,2024,214,589,820,26.09756098,71.82926829
18,2025,185,677,874,21.16704805,77.45995423
