Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,8,91,99,50,252,302,8.1,16.6
2021,11,107,118,46,321,367,9.3,12.5
2022,9,136,145,73,432,505,6.2,14.5
2023,18,103,121,139,437,576,14.9,24.1
2024,18,130,148,161,444,605,12.2,26.6
2025,27,182,209,207,482,689,12.9,30.0
