Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,415,1959,2374,484,1623,2107,17.5,23.0
2021,598,2643,3241,712,2162,2874,18.5,24.8
2022,624,2834,3458,586,2268,2854,18.0,20.5
2023,863,3251,4114,729,2214,2943,21.0,24.8
2024,885,3390,4275,579,2026,2605,20.7,22.2
2025,1096,3721,4817,647,1983,2630,22.8,24.6
