District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
18,2017,35,35,218,124,647,5.40958269,33.69397218
18,2018,42,51,231,174,772,6.60621762,29.92227979
18,2019,49,57,250,162,791,7.20606827,31.60556258
18,2020,90,42,229,174,797,5.26976161,28.7327478
18,2021,45,64,265,175,821,7.7953715,32.27771011
18,2022,43,54,263,143,794,6.80100756,33.12342569
18,2023,74,51,253,191,827,6.1668682,30.59250302
18,2024,38,28,275,190,799,3.50438048,34.41802253
18,2025,56,46,276,188,861,5.34262485,32.05574913
18,2026,24,27,160,70,438,6.16438356,36.52968037
