Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,34,90,124,147,388,535,27.4,27.5
2021,51,94,145,207,529,736,35.2,28.1
2022,48,113,161,172,526,698,29.8,24.6
2023,50,104,154,254,580,834,32.5,30.5
2024,46,142,188,255,601,856,24.5,29.8
2025,70,141,211,267,653,920,33.2,29.0
