Disposition Year,Conviction,No Conviction,Total
2017,62,18,80
2018,57,26,83
2019,104,27,131
2020,81,17,98
2021,96,24,120
2022,70,19,89
2023,89,19,108
2024,63,25,88
2025,60,23,83
