Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4,6,47,31,138,4.3,34.1
2017 Q2,6,9,56,32,162,5.6,34.6
2017 Q3,13,8,48,30,156,5.1,30.8
2017 Q4,12,12,67,31,191,6.3,35.1
2018 Q1,8,13,47,42,174,7.5,27.0
2018 Q2,16,10,48,48,197,5.1,24.4
2018 Q3,13,14,72,44,211,6.6,34.1
2018 Q4,5,14,64,40,190,7.4,33.7
2019 Q1,8,12,77,47,206,5.8,37.4
2019 Q2,12,17,63,34,189,9.0,33.3
2019 Q3,21,12,58,40,213,5.6,27.2
2019 Q4,8,16,52,41,183,8.7,28.4
2020 Q1,18,7,52,38,177,4.0,29.4
2020 Q2,36,11,64,51,233,4.7,27.5
2020 Q3,16,13,63,42,198,6.6,31.8
2020 Q4,20,11,50,43,189,5.8,26.5
2021 Q1,9,20,60,38,196,10.2,30.6
2021 Q2,10,19,60,35,190,10.0,31.6
2021 Q3,17,13,67,52,224,5.8,29.9
2021 Q4,9,12,78,50,211,5.7,37.0
2022 Q1,8,14,53,35,171,8.2,31.0
2022 Q2,11,12,64,30,205,5.9,31.2
2022 Q3,11,10,69,41,203,4.9,34.0
2022 Q4,13,18,77,37,215,8.4,35.8
2023 Q1,20,14,62,40,198,7.1,31.3
2023 Q2,18,11,62,39,210,5.2,29.5
2023 Q3,14,10,68,64,216,4.6,31.5
2023 Q4,21,16,61,48,203,7.9,30.0
2024 Q1,2,7,74,49,196,3.6,37.8
2024 Q2,11,6,73,44,202,3.0,36.1
2024 Q3,12,3,72,44,209,1.4,34.4
2024 Q4,13,12,56,53,192,6.2,29.2
2025 Q1,15,14,71,52,237,5.9,30.0
2025 Q2,13,15,55,47,189,7.9,29.1
2025 Q3,13,9,81,49,234,3.8,34.6
2025 Q4,15,9,68,40,202,4.5,33.7
2026 Q1,14,11,66,46,204,5.4,32.4
2026 Q2,9,14,90,24,220,6.4,40.9
