Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,266,533,803,33.1,66.4
2021,221,601,831,26.6,72.3
2022,189,606,811,23.3,74.7
2023,215,614,840,25.6,73.1
2024,214,589,820,26.1,71.8
2025,185,678,875,21.1,77.5
