Filing Year,Male,Female,Unknown/Missing
2017,2464,2834,2589
2018,2201,2649,3197
2019,2570,2925,2789
2020,3077,3517,1980
2021,2628,3162,2847
2022,2709,3238,3601
2023,2536,2972,4171
2024,2380,2970,4779
2025,2346,2979,5919
