District,Filing Year,Male,Female,Unknown/Missing
18,2017,2464,2834,2589
18,2018,2201,2649,3197
18,2019,2570,2925,2789
18,2020,3077,3517,1980
18,2021,2627,3162,2847
18,2022,2709,3238,3601
18,2023,2536,2972,4170
18,2024,2382,2972,4779
18,2025,2341,2974,5929
