Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,20,4,24
2017 Q2,16,7,23
2017 Q3,16,6,22
2017 Q4,10,1,11
2018 Q1,13,10,23
2018 Q2,10,2,12
2018 Q3,13,7,20
2018 Q4,21,7,28
2019 Q1,20,8,28
2019 Q2,21,7,28
2019 Q3,30,9,39
2019 Q4,33,3,36
2020 Q1,34,2,36
2020 Q2,9,6,15
2020 Q3,26,4,30
2020 Q4,12,5,17
2021 Q1,30,6,36
2021 Q2,27,8,35
2021 Q3,16,6,22
2021 Q4,23,4,27
2022 Q1,15,5,20
2022 Q2,12,0,12
2022 Q3,21,7,28
2022 Q4,22,7,29
2023 Q1,23,4,27
2023 Q2,22,5,27
2023 Q3,22,5,27
2023 Q4,22,5,27
2024 Q1,16,4,20
2024 Q2,17,7,24
2024 Q3,17,10,27
2024 Q4,13,4,17
2025 Q1,10,4,14
2025 Q2,21,8,29
2025 Q3,16,5,21
2025 Q4,13,6,19
