District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
18,2020,415,1959,2374,484,1623,2107,17.48104465,22.97104888
18,2021,598,2643,3241,712,2162,2874,18.45109534,24.77383438
18,2022,624,2834,3458,586,2268,2854,18.04511278,20.53258584
18,2023,863,3251,4114,729,2214,2943,20.97715119,24.7706422
18,2024,885,3390,4275,579,2026,2605,20.70175439,22.22648752
18,2025,1096,3721,4817,647,1980,2627,22.75275067,24.62885421
