District,Filing Quarter,Number of violent cases filed involving a child victim
18,2017 Q1,31
18,2017 Q2,33
18,2017 Q3,31
18,2017 Q4,30
18,2018 Q1,32
18,2018 Q2,47
18,2018 Q3,41
18,2018 Q4,23
18,2019 Q1,47
18,2019 Q2,33
18,2019 Q3,35
18,2019 Q4,36
18,2020 Q1,34
18,2020 Q2,38
18,2020 Q3,33
18,2020 Q4,33
18,2021 Q1,34
18,2021 Q2,36
18,2021 Q3,37
18,2021 Q4,60
18,2022 Q1,30
18,2022 Q2,43
18,2022 Q3,38
18,2022 Q4,44
18,2023 Q1,35
18,2023 Q2,43
18,2023 Q3,43
18,2023 Q4,42
18,2024 Q1,43
18,2024 Q2,42
18,2024 Q3,43
18,2024 Q4,32
18,2025 Q1,41
18,2025 Q2,46
18,2025 Q3,35
18,2025 Q4,34
18,2026 Q1,37
18,2026 Q2,29
