District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
19,2017,5,91,2,57,430,21.1627907,0.46511628
19,2018,7,74,0,50,417,17.74580336,0.0
19,2019,4,65,3,39,396,16.41414141,0.75757576
19,2020,14,111,7,59,483,22.98136646,1.44927536
19,2021,8,108,0,49,435,24.82758621,0.0
19,2022,11,100,0,47,432,23.14814815,0.0
19,2023,9,105,2,72,520,20.19230769,0.38461538
19,2024,5,119,2,52,483,24.63768116,0.41407867
19,2025,9,125,0,56,525,23.80952381,0.0
19,2026,12,47,0,31,273,17.21611722,0.0
