Filing Year,Male,Female,Unknown/Missing
2017,1747,2394,2136
2018,1759,2432,2392
2019,1810,2380,2656
2020,1631,2216,2006
2021,1622,2184,2489
2022,1672,2062,2554
2023,1797,2087,2596
2024,1997,2461,2735
2025,2679,2937,1728
