District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
19,2017,3000,38,53,1,26,3128,31
19,2018,3306,31,107,3,24,3076,36
19,2019,3638,64,12,2,24,3071,35
19,2020,3381,80,7,3,23,2327,32
19,2021,3362,66,3,3,19,2807,35
19,2022,3306,69,8,7,14,2861,23
19,2023,3377,45,7,2,19,3004,26
19,2024,3867,61,51,2,32,3140,38
19,2025,5301,68,88,1,28,1826,33
