Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4,14,0,10,91,15.4,0.0
2017 Q2,0,21,1,21,113,18.6,0.9
2017 Q3,0,25,1,14,119,21.0,0.8
2017 Q4,1,31,0,12,107,29.0,0.0
2018 Q1,2,17,0,8,93,18.3,0.0
2018 Q2,1,19,0,12,108,17.6,0.0
2018 Q3,1,14,0,16,106,13.2,0.0
2018 Q4,3,24,0,14,110,21.8,0.0
2019 Q1,0,12,0,12,94,12.8,0.0
2019 Q2,1,18,1,9,94,19.1,1.1
2019 Q3,1,16,2,7,104,15.4,1.9
2019 Q4,2,19,0,11,104,18.3,0.0
2020 Q1,7,32,1,12,131,24.4,0.8
2020 Q2,1,29,2,16,118,24.6,1.7
2020 Q3,4,25,2,23,118,21.2,1.7
2020 Q4,2,25,2,8,116,21.6,1.7
2021 Q1,0,21,0,13,113,18.6,0.0
2021 Q2,2,28,0,11,114,24.6,0.0
2021 Q3,2,28,0,15,108,25.9,0.0
2021 Q4,4,31,0,10,100,31.0,0.0
2022 Q1,0,24,0,8,90,26.7,0.0
2022 Q2,2,13,0,9,99,13.1,0.0
2022 Q3,6,34,0,13,119,28.6,0.0
2022 Q4,3,29,0,17,124,23.4,0.0
2023 Q1,2,23,0,13,117,19.7,0.0
2023 Q2,4,28,0,15,152,18.4,0.0
2023 Q3,1,36,1,18,128,28.1,0.8
2023 Q4,2,18,1,26,123,14.6,0.8
2024 Q1,1,24,1,11,103,23.3,1.0
2024 Q2,2,29,0,15,122,23.8,0.0
2024 Q3,1,38,1,12,149,25.5,0.7
2024 Q4,1,28,0,14,109,25.7,0.0
2025 Q1,3,31,0,15,132,23.5,0.0
2025 Q2,2,31,0,22,138,22.5,0.0
2025 Q3,2,29,0,9,126,23.0,0.0
2025 Q4,2,34,0,11,128,26.6,0.0
2026 Q1,4,21,0,18,135,15.6,0.0
2026 Q2,6,28,0,13,130,21.5,0.0
