Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,36,278,314,0,9,9,11.46496815,0.0
2021,76,323,399,3,1,4,19.04761905,75.0
2022,86,325,411,2,2,4,20.92457421,50.0
2023,92,315,407,3,0,3,22.6044226,100.0
2024,133,379,512,1,2,3,25.9765625,33.33333333
2025,145,414,559,1,5,6,25.9391771,16.66666667
